人物名;专属技能名称;专属技能稀有度;特效描述
江灵露;江晖剑;橙;昏旦变气候，江水含清晖。
钱多多;厚黑学;橙;厚而无形，黑而无色
邢不醉;绝绝刀;橙;刑不醉通过平日与海盗战斗时的经验自创的刀法，被砍的海盗都高呼“绝、绝刀！”，由此得名
范言;生意谱;橙;做生意嘛，最重要的就是开心——
人面蜘蛛;八足掌法;橙;人面蜘蛛模仿蜘蛛的姿势自创的拳法，使用时姿势仿佛一只大蜘蛛——有点恶心
洪奇官;烈焰刀法·改;金;洪奇官基于烈焰刀法自创的武学，燕飞鹏为这门武学提供了不少建议
沈潇潇;落木无边;橙;潇潇骤雨，牵连落木无边。
麦西川;和气生财;蓝;麦西川行走江湖四处卖货多年后总结的行商心得
贺老保;吹拉弹唱;蓝;贺老保所经营戏院的业务范围。其中以吹最为著名
云游;云游四海;蓝;云游经商多年后锻炼出来的轻功，特点是出事了跑得快
段和景;伤心拳;橙;其实天下女子言语无味，面目可憎，根本无法拒绝
朱大常;咸猪手;橙;——其实是门正经的拳掌功夫
宛若南;袖里藏刀;金;使用藏在衣袖中的刀攻击敌人，让人防不胜防。缺点是夏天会被怀疑
高升洁;欲绝掌;金;一见段郎误终身
段康;般若掌;金;段康根据大乘·般若禅掌自行研究出来的派生武学，实力强劲
;燃魔刀法;暗金;如意宫暗金刀法，自身生命值越低，附加的伤害越高
夏云;玄燕穿云剑;橙;轻灵敏捷，似燕子穿云。
秋月;固元扶伤丹;橙;秋月沉思医术，自创的改良药方，治疗效果极佳。
张天师;驻生长命;橙;张天师养生秘诀之一。
冬雪;神凝心静;金;冷淡的冬雪使用让人冷静的群体治疗。
王石头;文刀;紫;王石头熟读论语后练习的刀法，虽然姿势有些文绉绉的却也孔武有力
鲍洪毛;饮鸩止渴;紫;鲍洪毛根据多年从商经验总结的内功，主要是对别人使用
夏老头;夏济八想;紫;想风，想雪，想春秋。想天，想地，想桃子
赵珍笼;金钱镖;紫;赵珍笼以铜板为暗器磨炼出的专属武学。每次战斗结束回收铜板时总少了些……
姜富贵;花开富贵;紫;姜富贵平日开酒楼做菜时所用的刀法，源于生活
唐卦裳;穿针引线;紫;唐卦裳以多年裁缝经验修炼出的专属武学。缺点是用完要回收地上散了一地的针
乐显扬;妙手回春;橙;感谢大夫，治我猫病，妙手回春，救我狗命
秦忠贤;阴凝冰坚;金;秦忠贤根据自己的职业生涯总结出来的武学心得
蒋义;火形刀;金;蒋义专属，刚猛无比的刀法，其烈如火！
郭八挂;醉棍;橙;郭八挂醉酒状态下使出的棍法，每当酒醒后其本人便表示毫不知情。
万地灵;醉拳;金;万地灵酒后使的拳法，主动使用时有几率获得“醉酒”状态，拳拳到肉。缺点是宿醉。
欧阳骄;神通无碍;暗金;欧阳骄使用沾满毒药的匕首时顿悟的武学，顿悟方式其本人始终不愿透露。
举钵罗汉;举钵禅;蓝;高举铁钵向人乞食时所修炼的禅定之法。
笑狮罗汉;笑狮禅;蓝;狮子伴身时所修炼的禅定之法。
沉思罗汉;沉思禅;蓝;沉思禅悟。
欢喜罗汉;欢喜禅;蓝;空乐双运，以欲制欲。
静坐罗汉;静坐禅;蓝;静坐禅修。
降龙罗汉;降龙禅;蓝;据说是降服恶龙后所悟的禅意。
伏虎罗汉;伏虎禅;蓝;据说是制伏猛虎后所悟的禅意。
弘音;持戒拳;紫;拳法中蕴含了长期持戒积攒的欲念
弘业;持戒刀;紫;刀法中蕴含了长期持戒积攒的欲念。
弘清;持戒棍;紫;棍法中蕴含了长期持戒积攒的欲念。
弘正方丈;我佛慈悲;橙;只打有缘人。
血杵;下马威;紫;血杵守门时练就的专属内功，舍得一身剐，敢把皇帝拉下马
鼻嗅爱;赤刀心经;橙;鼻嗅爱根据多年经验总结的赤刀门武学心经
耳听怒;赤刀要诀;橙;耳听怒根据多年经验总结的赤刀门武学要诀
眼看喜;防寒心得;橙;眼看喜凭借多年生活经验总结出的雪山防寒保暖的必备心经
赤刀老祖;断月;橙;赤刀老祖专属，刀法凌厉，气势如虹，斩断苍穹
金书蕾;醉花剑;紫;醉酒的峨嵋弟子。
孤绝师太;峨嵋孤绝气功;橙;孤绝师太的独门内功。即使在佛光注照的峨嵋山，孤绝师太仍旧不改其为人冷清、手段强硬的作风。
扶叶;除暴棍法;橙;扶叶嫉恶如仇,，对待恶徒下手较重。
纹银;上逆剑法;橙;斗天斗地，我行我素。
张怀瑾;蓄阳怀柔;金;阴柔女子之身，在施行阳刚内功时可以兼以绵柔身法。
小赖利;脚底抹油;橙;小赖利专属腿法，来无影，去无踪
洪昌;蚊子腿;橙;洪昌在丐帮烹饪多年后领悟的内功，源自丐帮的日常生活，菜里没有一滴油
盖啸天;开封时局谱;橙;盖啸天在开封生活多年后总结的生活心得
铁战;广州时局谱;橙;铁战在广州生活多年后总结的生活心得
辛磊;杭州时局谱;橙;辛磊在杭州生活多年后总结的生活心得
席木点;大理时局谱;橙;席木点在大理生活多年后总结的生活心得
